partition-name,cluster-id,deploy-cluster-id,state
 partition2201 ,187,185, TERMINATED
 partition3323 ,188,186, TERMINATED
 partition9917 ,189,187, TERMINATED
 partition8865 ,190,188, TERMINATED
 partition5378 ,191,189, TERMINATED
 partition0494 ,192,190, TERMINATED
 partition6612 ,193,191, TERMINATED
 partition2561 ,195,193, TERMINATED
 partition2358 ,196,194, TERMINATED
 partition6756 ,197,195, TERMINATED
 partition0661 ,198,196, TERMINATED
 partition5086 ,199,197, TERMINATED
 partition5121 ,200,198, TERMINATED
 partition9295 ,201,199, TERMINATED
 partition9064 ,202,200, TERMINATED
 partition9401 ,203,201, TERMINATED
 partition1957 ,204,202, TERMINATED
 partition3255 ,205,203, TERMINATED
 partition3085 ,206,204, TERMINATED
 partition7111 ,207,205, TERMINATED
 partition3223 ,208,206, TERMINATED
 partition3916 ,209,207, TERMINATED
 partition7316 ,210,208, TERMINATED
 partition8722 ,211,209, TERMINATED
 partition8116 ,212,210, TERMINATED
 partition2354 ,213,211, TERMINATED
 partition1527 ,214,212, TERMINATED
 partition4475 ,215,213, TERMINATED
 partition1042 ,216,214, TERMINATED
 partition2343 ,217,215, TERMINATED
 partition6175 ,218,216, TERMINATED
 partition1867 ,219,217, TERMINATED
 partition1056 ,220,218, TERMINATED
 partition2523 ,221,219, TERMINATED
 partition2274 ,222,220, TERMINATED
 partition3759 ,223,221, TERMINATED
 partition3858 ,224,222, TERMINATED
 partition3928 ,225,223, TERMINATED
 partition7536 ,226,224, TERMINATED
 partition8587 ,227,225, TERMINATED
 partition4484 ,228,226, TERMINATED
 partition4180 ,229,227, TERMINATED
 partition8498 ,230,228, TERMINATED
 partition5623 ,231,229, TERMINATED
 partition6960 ,232,230, TERMINATED
 partition9956 ,233,231, TERMINATED
 partition3068 ,234,232, TERMINATED
 partition7156 ,235,233, TERMINATED
 partition6699 ,236,234, TERMINATED
 partition5154 ,237,235, TERMINATED
 partition8310 ,238,236, TERMINATED
 partition3839 ,239,237, TERMINATED
 partition7969 ,240,238, TERMINATED
 partition0662 ,241,239, TERMINATED
 partition9579 ,242,240, TERMINATED
 partition4881 ,243,241, TERMINATED
 partition3013 ,244,242, TERMINATED
 partition0244 ,245,243, TERMINATED
 partition4269 ,246,244, TERMINATED
 partition4753 ,247,245, TERMINATED
 partition9104 ,248,246, RUNNING
 partition9435 ,249,247, TERMINATED
 partition4817 ,250,248, TERMINATED
 partition0414 ,251,249, TERMINATED
 partition5243 ,253,251, TERMINATED
 partition5164 ,254,252, TERMINATED
 partition2218 ,255,253, TERMINATED
 partition5956 ,259,257, TERMINATED
 partition2456 ,260,258, TERMINATED
 partition3380 ,261,259, TERMINATED
 partition0913 ,262,260, TERMINATED
 partition4332 ,263,261, TERMINATED
 partition3009 ,264,262, TERMINATED
 partition0386 ,266,264, TERMINATED
 partition1080 ,267,265, TERMINATED
 partition9315 ,268,266, TERMINATED
 partition5804 ,269,267, TERMINATED
 partition2430 ,270,268, TERMINATED
 partition0763 ,271,269, TERMINATED
 partition8606 ,272,270, TERMINATED
 partition0716 ,273,271, TERMINATED
 partition7423 ,275,273, TERMINATED
 partition3824 ,276,274, TERMINATED
 partition0120 ,277,275, TERMINATED
 partition4536 ,278,276, TERMINATED
 partition3945 ,279,277, TERMINATED
 partition1696 ,280,278, TERMINATED
 partition3727 ,281,279, TERMINATED
 partition7453 ,282,280, TERMINATED
 partition8587 ,283,281, TERMINATED
 partition0778 ,284,282, TERMINATED
 partition6478 ,285,283, TERMINATED
 partition2638 ,286,284, TERMINATED
 partition4101 ,287,285, TERMINATED
 partition9617 ,288,286, TERMINATED
 partition3203 ,289,287, TERMINATED
 partition9194 ,290,288, TERMINATED
 partition1057 ,292,290, TERMINATED
 partition1306 ,293,291, TERMINATED
 partition0008 ,294,292, TERMINATED
 partition1535 ,295,293, TERMINATED
 partition0904 ,296,294, TERMINATED
 partition5524 ,297,295, TERMINATED
 partition6519 ,298,296, TERMINATED
 partition2317 ,299,297, TERMINATED
 partition9581 ,300,298, TERMINATED
 partition4120 ,301,299, TERMINATED
 partition3130 ,302,300, TERMINATED
 partition9783 ,303,301, TERMINATED
 partition8265 ,304,302, TERMINATED
 partition8959 ,305,303, TERMINATED
 partition5785 ,306,304, TERMINATED
 partition0873 ,308,306, TERMINATED
 partition1119 ,309,307, TERMINATED
 partition8471 ,310,308, TERMINATED
 partition9034 ,311,309, TERMINATED
 partition6778 ,312,310, TERMINATED
 partition0676 ,313,311, TERMINATED
 partition5289 ,314,312, TERMINATED
 partition0511 ,315,313, TERMINATED
 partition9590 ,317,315, TERMINATED
 partition5259 ,318,316, TERMINATED
 partition4786 ,319,317, TERMINATED
 partition9808 ,320,318, TERMINATED
 partition5643 ,321,319, RUNNING
 partition1707 ,322,320, RUNNING
 partition0071 ,323,321, RUNNING
 partition8180 ,324,322, TERMINATED
 partition0337 ,325,323, TERMINATED
 partition7552 ,326,324, TERMINATED
 partition8408 ,327,325, TERMINATED
 partition3527 ,328,326, TERMINATED
 partition4364 ,329,327, RUNNING
 partition3074 ,330,328, TERMINATED
 partition3849 ,331,329, TERMINATED
 partition5064 ,332,330, TERMINATED
 partition2334 ,333,331, TERMINATED
 partition5142 ,334,332, TERMINATED
 partition5777 ,335,333, TERMINATED
 partition8265 ,337,335, TERMINATED
 partition7284 ,338,336, TERMINATED
 partition2749 ,339,337, TERMINATED
 partition9045 ,340,338, TERMINATED
 partition1167 ,341,339, TERMINATED
 partition8861 ,342,340, TERMINATED
 partition3863 ,343,341, TERMINATED
 partition9134 ,344,342, TERMINATED
 partition8910 ,345,343, TERMINATED
 partition9143 ,346,344, TERMINATED
 partition7692 ,347,345, TERMINATED
 partition2699 ,348,346, STOPPED
 partition5968 ,349,347, TERMINATED
 partition2117 ,350,348, TERMINATED
 partition3261 ,351,349, TERMINATED
 partition7325 ,352,350, TERMINATED
 partition4134 ,353,351, TERMINATED
 partition1767 ,354,352, TERMINATED
 partition6401 ,355,353, TERMINATED
 partition5105 ,356,354, TERMINATED
 partition5845 ,357,355, TERMINATED
 partition2892 ,358,356, TERMINATED
 partition0362 ,359,357, TERMINATED
 partition5073 ,360,358, TERMINATED
 partition1430 ,361,359, TERMINATED
 partition8157 ,362,360, TERMINATED
 partition5889 ,363,361, TERMINATED
 partition6445 ,364,362, TERMINATED
 partition8926 ,365,363, TERMINATED
 partition7646 ,366,364, TERMINATED
 partition2216 ,367,365, TERMINATED
 partition8376 ,368,366, TERMINATED
 partition0114 ,369,367, TERMINATED
 partition8673 ,370,368, TERMINATED
 partition1346 ,371,369, TERMINATED
 partition3397 ,372,370, TERMINATED
 partition6254 ,373,371, TERMINATED
 partition8656 ,374,372, TERMINATED
 partition7408 ,375,373, TERMINATED
 partition3853 ,376,374, TERMINATED
 partition6515 ,377,375, TERMINATED
 partition9481 ,378,376, TERMINATED
 partition3498 ,379,377, TERMINATED
 partition5134 ,380,378, TERMINATED
 partition3492 ,381,379, TERMINATED
 partition7001 ,382,380, TERMINATED
 partition6147 ,383,381, TERMINATED
 partition1042 ,384,382, TERMINATED
 partition0308 ,385,383, TERMINATED
 partition3928 ,386,384, TERMINATED
 partition1518 ,387,385, TERMINATED
 partition9455 ,388,386, TERMINATED
 partition6451 ,389,387, TERMINATED
 partition0546 ,390,388, TERMINATED
 partition8246 ,391,389, TERMINATED
 partition3647 ,392,390, TERMINATED
 partition8982 ,393,391, TERMINATED
 partition3581 ,394,392, TERMINATED
 partition3909 ,395,393, TERMINATED
 partition4728 ,396,394, TERMINATED
 partition6062 ,397,395, TERMINATED
 partition0762 ,398,396, TERMINATED
 partition4157 ,399,397, TERMINATED
 partition5855 ,400,398, TERMINATED
 partition9682 ,401,399, TERMINATED
 partition5795 ,402,400, TERMINATED
 partition1542 ,403,401, TERMINATED
 partition0016 ,404,402, TERMINATED
 partition5214 ,405,403, TERMINATED
 partition9691 ,406,404, TERMINATED
 partition9838 ,407,405, TERMINATED
 partition1718 ,408,406, TERMINATED
 partition7586 ,409,407, TERMINATED
 partition9639 ,410,408, TERMINATED
 partition5223 ,411,409, RUNNING
 partition8993 ,412,410, TERMINATED
 partition6629 ,413,411, TERMINATED
 partition2373 ,414,412, TERMINATED
 partition2213 ,415,413, TERMINATED
 partition6533 ,416,414, TERMINATED
 partition4538 ,417,415, TERMINATED
 partition6604 ,418,416, TERMINATED
 partition6861 ,419,417, TERMINATED
 partition9079 ,420,418, TERMINATED
 partition4957 ,421,419, TERMINATED
 partition7390 ,422,420, TERMINATED
 partition7773 ,423,421, TERMINATED
 partition4022 ,424,422, TERMINATED
 partition2914 ,425,423, TERMINATED
 partition5517 ,426,424, TERMINATED
 partition6705 ,427,425, TERMINATED
 partition5281 ,428,426, TERMINATED
 partition1095 ,429,427, STOPPED
 partition9073 ,430,428, STOPPED
 partition3728 ,431,429, TERMINATED
 partition3175 ,432,430, TERMINATED
 partition9834 ,433,431, TERMINATED
 partition3827 ,434,432, RUNNING
 partition4352 ,435,433, RUNNING
 partition9050 ,436,434, RUNNING
 partition4606 ,437,435, CREATING
 partition1523 ,438,436, CREATING
